endereço;local;equipamento;tag_interna;descrição_detalhada
ABATE;PRE-CCM;CENTRO DE CONTROLE DE MOTORES;PAE01;PAINEL 01 CCM
ABATE;PRE-CCM;CENTRO DE CONTROLE DE MOTORES;PAE02;PAINEL 02 CCM
ABATE;PRE-CCM;CENTRO DE CONTROLE DE MOTORES;PAE03;PAINEL 03 CCM
ABATE;PRE-CCM;CENTRO DE CONTROLE DE MOTORES;PAE05;PAINEL 05 CCM
ABATE;PRE-CCM;CENTRO DE CONTROLE DE MOTORES;PEE02;PAINEL ENTRADA DE ENERGIA 02 CCM
ABATE;ABA-ESC;ESCALDAGEM;PAE10;PAINEL DE COMANDO ESCALDAGEM
ABATE;ABA-EVIS;EVISCERACAO;PAE11;PAINEL DE COMANDO EVISCERAÇÃO
ABATE;ABA-LAVGAI;SETOR LAVAGEM DE GAIOLAS;PAE07;PAINEL DAS BOMBAS DE VÁCUO
ABATE;ABA-SATEMP;SALA DE TEMPERO;PAE16;PAINEL DE COMANDO ROSCA DE GELO
ABATE;ABA-SEEXT;SETOR EXTERNO;PAE18;PAINEL ELÉTRICO PARA OS COMPRESSORES Nº1
ABATE;ABA-SEEXT;SETOR EXTERNO;PAE19;PAINEL ELÉTRICO PARA OS COMPRESSORES Nº2
ABATE;ABA-SEEXT;SETOR EXTERNO;INFRAELE01;INFRAESTRUTURA ELÉTRICA DO ABATEDOURO
SALA DE MÁQUINAS;SM-CCM;CENTRO DE CONTROLE DE MOTORES;PESM04;PAINEL ELÉTRICO CCM Nº3
SALA DE MÁQUINAS;SM-CCM;CENTRO DE CONTROLE DE MOTORES;PESM05;PAINEL ELÉTRICO CCM Nº2
SALA DE MÁQUINAS;SM-CCM;CENTRO DE CONTROLE DE MOTORES;PESM06;PAINEL ELÉTRICO CCM Nº1
SALA DE MÁQUINAS;SM-CCM;CENTRO DE CONTROLE DE MOTORES;PESM07;PAINEL ELÉTRICO CCM Nº4
SALA DE MÁQUINAS;SM-TRANS;TRANSFORMADORES DISTRIBUIÇÃO;CABALTE01;CABINE DE ENTRADA ALTA TENSÃO
GRAXARIA;GRX-GER;GERAÇÃO DE VAPOR;PAE20;PAINEL ELÉTRICO NA GRAXARIA
GRAXARIA;GRX-GER;GERAÇÃO DE VAPOR;PAEGRX;PAINEL ELÉTRICO NA GRAXARIA
